B,Points_0,Points_1,Points_2,U,V
0.5,-0.00749276,0.00196289,0,-1.82124e-05,-8.62349e-05
0.5,-0.0075,0.00196924,0,0,-0.0001
0.5,-0.00748535,0.00195061,0,-5.09424e-06,-3.13265e-05
0.5,-0.00748433,0.00194824,0,6.38728e-06,-4.06685e-05
0.5,-0.00747837,0.00193359,0,-1.03872e-05,-5.32129e-05
0.5,-0.00747223,0.00191895,0,-1.63295e-06,-3.85669e-05
0.5,-0.0074707,0.00191572,0,-2.51384e-06,-3.3969e-05
0.5,-0.00746563,0.0019043,0,-4.1899e-06,-5.13547e-05
0.5,-0.00745917,0.00188965,0,-9.30543e-06,-3.82321e-05
0.5,-0.00745605,0.00188328,0,-9.89936e-06,-3.24405e-05
0.5,-0.00745204,0.001875,0,-2.23499e-06,-4.91212e-05
0.5,-0.00744529,0.00186035,0,-6.90653e-06,-4.3854e-05
0.5,-0.00744141,0.00185286,0,-7.2967e-06,-3.81504e-05
0.5,-0.00743768,0.0018457,0,-4.01886e-07,-5.26242e-05
0.5,-0.00743058,0.00183105,0,-5.41768e-06,-4.30242e-05
0.5,-0.00742676,0.00182415,0,-6.48363e-06,-3.92267e-05
0.5,-0.00742251,0.00181641,0,9.68745e-07,-5.288e-05
0.5,-0.00741501,0.00180176,0,-1.29093e-06,-4.35018e-05
0.5,-0.00741211,0.0017969,0,-1.80706e-06,-4.19012e-05
0.5,-0.00740655,0.00178711,0,-3.28745e-06,-5.76672e-05
0.5,-0.00739848,0.00177246,0,-6.53302e-06,-3.92737e-05
0.5,-0.00739746,0.00177083,0,-7.21922e-06,-3.93529e-05
0.5,-0.00739,0.00175781,0,-1.05624e-05,-5.34958e-05
0.5,-0.00738281,0.00174609,0,-1.08283e-05,-4.85703e-05
0.5,-0.00738083,0.00174316,0,-9.04374e-06,-6.03081e-05
0.5,-0.00737324,0.00172852,0,-1.35493e-05,-7.54638e-05
0.5,-0.00736816,0.00172091,0,-7.80127e-06,-8.2994e-05
0.5,-0.00736118,0.00171387,0,4.04814e-05,-0.000139412
0.5,-0.00735352,0.00170577,0,5.08517e-05,-0.000155509
0.5,-0.00734603,0.00169922,0,7.6888e-05,-0.000201374
0.5,-0.00735352,0.00170577,0,5.08516e-05,-0.000155509
0.5,-0.00733316,0.00166992,0,2.81343e-05,-0.000142568
0.5,-0.00732422,0.00165572,0,2.48284e-05,-0.000129176
0.5,-0.00731318,0.00164062,0,5.29122e-05,-0.000150118
0.5,-0.00729492,0.0016159,0,4.43403e-05,-0.000119298
0.5,-0.00729121,0.00161133,0,5.30781e-05,-0.00013111
0.5,-0.00727,0.00158203,0,3.52312e-05,-9.92381e-05
0.5,-0.00726562,0.00157684,0,3.41478e-05,-9.82662e-05
0.5,-0.00724649,0.00155273,0,4.90005e-05,-0.000103829
0.5,-0.00723633,0.00154063,0,4.45308e-05,-0.000100519
0.5,-0.00722179,0.00152344,0,5.8654e-05,-0.000105275
0.5,-0.00720703,0.00150689,0,5.43524e-05,-9.47209e-05
0.5,-0.00719533,0.00149414,0,6.06343e-05,-0.000105299
0.5,-0.00717773,0.00147462,0,4.25637e-05,-8.54334e-05
0.5,-0.0071687,0.00146484,0,4.48274e-05,-7.47052e-05
0.5,-0.00714844,0.00144357,0,2.77448e-05,-4.42122e-05
0.5,-0.00714061,0.00143555,0,2.76128e-05,-4.37123e-05
0.5,-0.00711914,0.00141424,0,2.01536e-05,-2.99463e-05
0.5,-0.007111,0.00140625,0,2.34938e-05,-2.19748e-05
0.5,-0.00708984,0.00138636,0,3.62539e-05,-1.87249e-05
0.5,-0.00707994,0.00137695,0,4.02351e-05,-1.3364e-06
0.5,-0.00706055,0.00135915,0,4.51863e-05,7.07613e-07
0.5,-0.00704799,0.00134766,0,2.63961e-05,2.49621e-05
0.5,-0.00703125,0.00133271,0,1.98168e-05,3.34237e-05
0.5,-0.00701474,0.00131836,0,-5.35666e-06,7.9474e-05
0.5,-0.00700195,0.00130717,0,-1.22839e-05,8.99094e-05
0.5,-0.00697997,0.00128906,0,-7.87406e-05,0.000136641
0.5,-0.00697266,0.00128272,0,-8.93409e-05,0.000144228
0.5,-0.00694336,0.00126019,0,-0.000149752,0.00015382
0.5,-0.00694238,0.00125977,0,-0.000140451,0.000147772
0.5,-0.00691406,0.00124499,0,6.78852e-05,3.36825e-05
0.5,-0.0068928,0.00123047,0,2.70986e-06,9.42573e-06
0.5,-0.00691406,0.00124499,0,6.78852e-05,3.36827e-05
0.5,-0.00685547,0.00119525,0,1.36531e-05,5.07644e-05
0.5,-0.00682285,0.00117187,0,4.46878e-05,0.00015795
0.5,-0.00679687,0.00115306,0,3.92934e-05,0.000148873
0.5,-0.00673828,0.00111614,0,-4.33706e-05,0.000221184
0.5,-0.00673423,0.00111328,0,-7.01328e-05,0.000234419
0.5,-0.00667969,0.00107976,0,-1.59354e-05,0.000172866
0.5,-0.00663707,0.00105469,0,-9.62554e-05,0.000331259
0.5,-0.00662109,0.00104466,0,-0.000100611,0.000338652
0.5,-0.0065625,0.00101327,0,-0.000232986,0.00032505
0.5,-0.00653057,0.000996094,0,-0.000347247,0.000450706
0.5,-0.00650391,0.000981631,0,-0.000356404,0.000469051
0.5,-0.00644531,0.000953107,0,-0.000539938,0.000482233
0.5,-0.00641329,0.0009375,0,-0.000660485,0.000587674
0.5,-0.00638672,0.000924439,0,-0.000693171,0.000606471
0.5,-0.00632812,0.000898373,0,-0.000926921,0.000641935
0.5,-0.00628342,0.000878906,0,-0.00112031,0.000789471
0.5,-0.00626953,0.000872504,0,-0.00115113,0.000801831
0.5,-0.00621094,0.000848681,0,-0.0013778,0.000827234
0.5,-0.00615234,0.000825873,0,-0.00172052,0.000946695
0.5,-0.00613843,0.000820312,0,-0.00182843,0.000986068
0.5,-0.00609375,0.000803377,0,-0.00204896,0.00105746
0.5,-0.00603516,0.000782341,0,-0.0025281,0.00112182
0.5,-0.00597656,0.000762059,0,-0.00274974,0.00108561
0.5,-0.00585938,0.000724856,0,-0.00259997,0.000984375
0.5,-0.00597656,0.000762058,0,-0.00274973,0.00108561
0.5,-0.00578708,0.000703125,0,-0.00245533,0.00108872
0.5,-0.00574219,0.000689438,0,-0.00236884,0.00105245
0.5,-0.005625,0.000657829,0,-0.00243032,0.00100691
0.5,-0.00550781,0.000628411,0,-0.00277436,0.00101509
0.5,-0.00539062,0.000601513,0,-0.00312444,0.00108756
0.5,-0.00531802,0.000585937,0,-0.00344823,0.00119172
0.5,-0.00527344,0.000576268,0,-0.00357101,0.00118277
0.5,-0.00515625,0.000553486,0,-0.00416896,0.00121749
0.5,-0.00503906,0.000532297,0,-0.00484108,0.00123595
0.5,-0.00492188,0.000512761,0,-0.00547358,0.00123448
0.5,-0.00480469,0.000494731,0,-0.00624721,0.00127125
0.5,-0.0046875,0.000478125,0,-0.00729883,0.00141748
0.5,-0.00461666,0.00046875,0,-0.00841877,0.00137716
0.5,-0.00457031,0.000462581,0,-0.00908221,0.00143166
0.5,-0.00445312,0.000441627,0,-0.00976785,0.00134334
0.5,-0.00421875,0.000423381,0,-0.00830222,0.00100027
0.5,-0.00445312,0.000441627,0,-0.00976786,0.00134334
0.5,-0.00398438,0.000401679,0,-0.00660383,0.000781838
0.5,-0.00375,0.000383162,0,-0.00532299,0.000625606
0.5,-0.00351562,0.000367351,0,-0.00430493,0.000517525
0.5,-0.00328125,0.000353854,0,-0.00348746,0.00043394
0.5,-0.00304688,0.000342342,0,-0.00282734,0.000371001
0.5,-0.0028125,0.000332526,0,-0.00227794,0.000319566
0.5,-0.00257812,0.000324164,0,-0.00183104,0.000279803
0.5,-0.00234375,0.000317043,0,-0.00145783,0.000250773
0.5,-0.00210938,0.000310981,0,-0.00115412,0.000232986
0.5,-0.001875,0.000305818,0,-0.00090173,0.000225741
0.5,-0.00164062,0.000301416,0,-0.000697053,0.000228437
0.5,-0.00140625,0.000297655,0,-0.000528745,0.000239042
0.5,-0.00117187,0.000294435,0,-0.000393908,0.000255713
0.5,-0.0009375,0.000291668,0,-0.000285467,0.000275464
0.5,-0.000703125,0.000289286,0,-0.000199753,0.000295349
0.5,-0.00046875,0.000287228,0,-0.000131619,0.000313304
0.5,-0.000234375,0.000285445,0,-7.97774e-05,0.000328243
0.5,0,0.000283899,0,-4.04659e-05,0.00033824
0.5,0.000234375,0.000282555,0,-1.18108e-05,0.000342534
0.5,0.00046875,0.000281386,0,1.05853e-05,0.000341933
