B,Points_0,Points_1,Points_2,Points_Magnitude,U,V
0.5,-0.00748814,0.00183105,0,0.00770876,1.29287e-05,-9.91172e-05
0.5,-0.0075,0.00184242,0,0.00772299,0,-0.00015
0.5,-0.00748535,0.00182651,0,0.00770497,9.98954e-06,-8.22975e-05
0.5,-0.00748065,0.00181641,0,0.00769802,1.06589e-05,-6.12816e-05
0.5,-0.00747392,0.00180176,0,0.00768803,7.83265e-06,-6.98196e-05
0.5,-0.0074707,0.00179545,0,0.00768342,4.39865e-06,-6.50257e-05
0.5,-0.00746652,0.00178711,0,0.00767741,3.95149e-06,-5.41741e-05
0.5,-0.00745945,0.00177246,0,0.00766714,4.16176e-06,-6.65831e-05
0.5,-0.00745605,0.00176617,0,0.00766238,1.65265e-06,-6.42354e-05
0.5,-0.0074516,0.00175781,0,0.00765613,2.18955e-06,-5.54257e-05
0.5,-0.00744416,0.00174316,0,0.00764553,-1.26688e-06,-6.52264e-05
0.5,-0.00744141,0.00173843,0,0.00764177,-1.68749e-06,-6.38064e-05
0.5,-0.00743592,0.00172852,0,0.00763418,3.74225e-06,-5.71333e-05
0.5,-0.00742796,0.00171387,0,0.00762312,-5.3653e-06,-6.32733e-05
0.5,-0.00742676,0.00171196,0,0.00762152,-5.40923e-06,-6.32218e-05
0.5,-0.00741952,0.00169922,0,0.00761161,4.75985e-06,-6.03271e-05
0.5,-0.00741211,0.00168678,0,0.00760162,2.46633e-06,-6.17853e-05
0.5,-0.00741064,0.00168457,0,0.00759969,4.58955e-07,-6.0423e-05
0.5,-0.0074022,0.00166992,0,0.00758822,1.63283e-06,-6.70891e-05
0.5,-0.00739746,0.0016626,0,0.007582,4.31499e-06,-6.62472e-05
0.5,-0.00739271,0.00165527,0,0.00757575,8.94334e-06,-6.88484e-05
0.5,-0.00738378,0.00164062,0,0.00756385,-4.14397e-06,-6.04417e-05
0.5,-0.00738281,0.00163928,0,0.00756261,-3.85635e-06,-6.00519e-05
0.5,-0.00737427,0.00162598,0,0.00755141,6.40752e-06,-8.0534e-05
0.5,-0.00736816,0.00161696,0,0.0075435,1.10269e-05,-8.47289e-05
0.5,-0.00736353,0.00161133,0,0.00753777,1.62845e-05,-0.000106865
0.5,-0.00735352,0.001597,0,0.00752494,1.24785e-05,-0.000127876
0.5,-0.00733934,0.00158203,0,0.00750791,5.45312e-05,-0.000145206
0.5,-0.00735352,0.001597,0,0.00752494,1.24785e-05,-0.000127875
0.5,-0.00732422,0.00155565,0,0.00748761,2.61158e-05,-0.000118286
0.5,-0.00732181,0.00155273,0,0.00748465,2.73033e-05,-0.00012454
0.5,-0.00730051,0.00152344,0,0.00745777,5.34823e-06,-0.000135287
0.5,-0.00729492,0.00151677,0,0.00745094,3.86813e-06,-0.000138313
