B,Points_0,Points_1,Points_2,U,V
1,-0.0075,-0.000234375,0,0,-0.02
1,-0.00726562,-0.000234375,0,-0.00151451,-0.011014
1,-0.0075,0,0,0,-0.02
1,-0.00726562,0,0,-0.00241394,-0.00831445
1,-0.00726562,-0.000117187,0,-0.00196423,-0.00966425
1,-0.00714844,-0.000117187,0,-0.00340303,-0.00609713
1,-0.00714844,0,0,-0.00421894,-0.00443829
1,-0.00703125,-0.000117187,0,-0.00497027,-0.00344847
1,-0.00703125,0,0,-0.00594728,-0.00190787
1,-0.00714844,-0.000234375,0,-0.00283708,-0.0079534
1,-0.00703125,-0.000234375,0,-0.00415965,-0.00489276
1,-0.0075,-0.00046875,0,0,-0.02
1,-0.00726562,-0.00046875,0,-0.00104796,-0.012947
1,-0.00703125,-0.00046875,0,-0.00296703,-0.0074232
1,-0.00691406,-0.000117187,0,-0.0063888,-0.00165824
1,-0.00691406,0,0,-0.0074272,-0.000336182
1,-0.00679687,-0.000117187,0,-0.00759432,-0.00053311
1,-0.00679687,0,0,-0.00860837,0.000545706
1,-0.00691406,-0.000234375,0,-0.00539423,-0.00327058
1,-0.00679687,-0.000234375,0,-0.00662882,-0.0016484
1,-0.00667969,-0.000117187,0,-0.00858408,0.000148502
1,-0.00667969,0,0,-0.00953388,0.001014
1,-0.0065625,-0.000117187,0,-0.00938083,0.00053783
1,-0.0065625,0,0,-0.0102558,0.00122055
1,-0.00667969,-0.000234375,0,-0.00753753,-0.000925281
1,-0.0065625,-0.000234375,0,-0.00844624,-0.000202162
1,-0.00679687,-0.00046875,0,-0.00505707,-0.00386019
1,-0.0065625,-0.00046875,0,-0.00680417,-0.00183402
1,-0.0075,-0.000703125,0,0,-0.02
1,-0.00726562,-0.000703125,0,-0.00065398,-0.0141747
1,-0.00703125,-0.000703125,0,-0.00212391,-0.00925328
1,-0.0075,-0.0009375,0,0,-0.02
1,-0.00726562,-0.0009375,0,-0.00045519,-0.0150684
1,-0.00703125,-0.0009375,0,-0.00156113,-0.0106428
1,-0.00679687,-0.000703125,0,-0.00387516,-0.00570046
1,-0.0065625,-0.000703125,0,-0.00545545,-0.00335344
1,-0.00679687,-0.0009375,0,-0.00295225,-0.00718962
1,-0.0065625,-0.0009375,0,-0.00430047,-0.00468191
1,-0.00644531,-0.000117187,0,-0.0100076,0.000746588
1,-0.00644531,0,0,-0.0108183,0.00127956
1,-0.00632812,-0.000117187,0,-0.010502,0.000850813
1,-0.00632812,0,0,-0.0112662,0.00126908
1,-0.00644531,-0.000234375,0,-0.00904959,9.13431e-05
1,-0.00632812,-0.000234375,0,-0.00965294,0.000384848
1,-0.00621094,-0.000117187,0,-0.0108923,0.000922759
1,-0.00621094,0,0,-0.0116323,0.00125372
1,-0.00609375,-0.000117187,0,-0.0112149,0.00101905
1,-0.00609375,0,0,-0.0119434,0.00128048
1,-0.00621094,-0.000234375,0,-0.0100521,0.000538603
1,-0.00609375,-0.000234375,0,-0.0104513,0.000692357
1,-0.00632812,-0.00046875,0,-0.00810627,-0.000723992
1,-0.00609375,-0.00046875,0,-0.00902419,-8.19918e-05
1,-0.00609375,-5.85937e-05,0,-0.0115791,0.00114977
1,-0.00603516,-5.85937e-05,0,-0.0116952,0.00120436
1,-0.00603516,0,0,-0.0120664,0.00132677
1,-0.00597656,-5.85937e-05,0,-0.0118388,0.00128037
1,-0.00597656,0,0,-0.0121935,0.00140968
1,-0.00603516,-0.000117187,0,-0.0113496,0.00108506
1,-0.00597656,-0.000117187,0,-0.0114842,0.00115107
1,-0.00585938,-0.000117187,0,-0.0117814,0.0012296
1,-0.00585938,0,0,-0.0124725,0.00151073
1,-0.00597656,-0.000234375,0,-0.0107677,0.000819415
1,-0.00585938,-0.000234375,0,-0.0110842,0.000946474
1,-0.00574219,-0.000117187,0,-0.012056,0.00121419
1,-0.00574219,0,0,-0.0126893,0.00147663
1,-0.005625,-0.000117187,0,-0.0123028,0.00114349
1,-0.005625,0,0,-0.012872,0.00137865
1,-0.00574219,-0.000234375,0,-0.0113496,0.000922165
1,-0.005625,-0.000234375,0,-0.011615,0.000897856
1,-0.00585938,-0.00046875,0,-0.00971699,0.000291854
1,-0.005625,-0.00046875,0,-0.0102256,0.000423717
1,-0.00632812,-0.000703125,0,-0.00672496,-0.001867
1,-0.00609375,-0.000703125,0,-0.00766927,-0.000912679
1,-0.00632812,-0.0009375,0,-0.00545381,-0.00293537
1,-0.00609375,-0.0009375,0,-0.00635187,-0.0017208
1,-0.00585938,-0.000703125,0,-0.00836627,-0.000298184
1,-0.005625,-0.000703125,0,-0.00883585,7.08926e-05
1,-0.00585938,-0.0009375,0,-0.0070175,-0.000872002
1,-0.005625,-0.0009375,0,-0.00745277,-0.000274983
1,-0.0075,-0.00117187,0,0,-0.02
1,-0.00726562,-0.00117187,0,-0.000314242,-0.0157321
1,-0.00703125,-0.00117187,0,-0.00115015,-0.0117465
1,-0.0075,-0.00140625,0,0,-0.02
1,-0.00726562,-0.00140625,0,-0.000224656,-0.016215
1,-0.00703125,-0.00140625,0,-0.000849578,-0.0125786
1,-0.00679687,-0.00117187,0,-0.00225309,-0.00843582
1,-0.0065625,-0.00117187,0,-0.00338099,-0.00585153
1,-0.00679687,-0.00140625,0,-0.00170567,-0.00941735
1,-0.0065625,-0.00140625,0,-0.00262199,-0.00681755
1,-0.0075,-0.00164062,0,0,-0.02
1,-0.00726562,-0.00164062,0,-0.000159232,-0.0165772
1,-0.00703125,-0.00164062,0,-0.000625033,-0.0132234
1,-0.0075,-0.001875,0,0,-0.02
1,-0.00726562,-0.001875,0,-0.000111668,-0.0168359
1,-0.00703125,-0.001875,0,-0.000452549,-0.013701
1,-0.00679687,-0.00164062,0,-0.00128533,-0.0102043
1,-0.0065625,-0.00164062,0,-0.00201933,-0.00761866
1,-0.00679687,-0.001875,0,-0.000951485,-0.0108083
1,-0.0065625,-0.001875,0,-0.00152511,-0.00825536
1,-0.00632812,-0.00117187,0,-0.00439163,-0.00391492
1,-0.00609375,-0.00117187,0,-0.00520921,-0.00247333
1,-0.00632812,-0.00140625,0,-0.00347642,-0.00476042
1,-0.00609375,-0.00140625,0,-0.00419293,-0.00314984
1,-0.00585938,-0.00117187,0,-0.00582378,-0.00139633
1,-0.005625,-0.00117187,0,-0.00622959,-0.000573775
1,-0.00585938,-0.00140625,0,-0.00474666,-0.00188907
1,-0.005625,-0.00140625,0,-0.00512539,-0.000883596
1,-0.00632812,-0.00164062,0,-0.00272633,-0.00548232
1,-0.00609375,-0.00164062,0,-0.00333831,-0.00374033
1,-0.00632812,-0.001875,0,-0.00209444,-0.00607612
1,-0.00609375,-0.001875,0,-0.00260215,-0.00424386
1,-0.00585938,-0.00164062,0,-0.00382352,-0.00232576
1,-0.005625,-0.00164062,0,-0.00416793,-0.00116434
1,-0.00585938,-0.001875,0,-0.00301675,-0.00271546
1,-0.005625,-0.001875,0,-0.00332292,-0.00143464
1,-0.00550781,-0.000117187,0,-0.0125339,0.00101242
1,-0.00550781,0,0,-0.013054,0.00123526
1,-0.00539062,-0.000117187,0,-0.0127549,0.00084333
1,-0.00539062,0,0,-0.0132513,0.00106347
1,-0.00550781,-0.000234375,0,-0.0118293,0.000760576
1,-0.00539062,-0.000234375,0,-0.0120436,0.000623295
1,-0.00527344,-0.000117187,0,-0.0129715,0.000657293
1,-0.00527344,0,0,-0.0134817,0.000882999
1,-0.00515625,-0.000117187,0,-0.0131916,0.000491165
1,-0.00515625,0,0,-0.0137571,0.000711999
1,-0.00527344,-0.000234375,0,-0.0122062,0.000453778
1,-0.00515625,-0.000234375,0,-0.0123688,0.00028426
1,-0.00539062,-0.00046875,0,-0.0105146,0.000380656
1,-0.00515625,-0.00046875,0,-0.0105447,0.000263526
1,-0.00503906,-0.000117187,0,-0.0133952,0.000352895
1,-0.00503906,0,0,-0.0140714,0.000560337
1,-0.00492188,-0.000117187,0,-0.0135756,0.000277303
1,-0.00492188,0,0,-0.0144289,0.000451862
1,-0.00503906,-0.000234375,0,-0.0124885,0.000239439
1,-0.00492188,-0.000234375,0,-0.0126082,0.000194618
1,-0.00480469,-0.000117187,0,-0.0136419,0.000278795
1,-0.00480469,0,0,-0.0147672,0.000463221
