B,Points_0,Points_1,Points_2,U,V
1,-0.0075,-0.000234375,0,0,-0.005
1,-0.00726562,-0.000234375,0,-0.000290096,-0.00367685
1,-0.0075,0,0,0,-0.005
1,-0.00726562,0,0,-0.000448696,-0.00313635
1,-0.00703125,-0.000234375,0,-0.000951303,-0.00256613
1,-0.00703125,0,0,-0.0012849,-0.00173275
1,-0.0075,-0.00046875,0,0,-0.005
1,-0.00726562,-0.00046875,0,-0.000206679,-0.00408669
1,-0.00703125,-0.00046875,0,-0.000697343,-0.00320425
1,-0.00679687,-0.000234375,0,-0.00176205,-0.00181671
1,-0.00679687,0,0,-0.00222178,-0.000940164
1,-0.0065625,-0.000234375,0,-0.00253544,-0.00134156
1,-0.0065625,0,0,-0.00310458,-0.000556319
1,-0.00679687,-0.00046875,0,-0.0013245,-0.00252618
1,-0.0065625,-0.00046875,0,-0.00196185,-0.0020293
1,-0.0075,-0.000703125,0,0,-0.005
1,-0.00726562,-0.000703125,0,-0.000136274,-0.00437256
1,-0.00703125,-0.000703125,0,-0.000491714,-0.00368238
1,-0.0075,-0.0009375,0,0,-0.005
1,-0.00726562,-0.0009375,0,-8.99819e-05,-0.00457553
1,-0.00703125,-0.0009375,0,-0.000336533,-0.00402993
1,-0.00679687,-0.000703125,0,-0.000964409,-0.0030798
1,-0.0065625,-0.000703125,0,-0.0014665,-0.00258142
1,-0.00679687,-0.0009375,0,-0.000677255,-0.00349861
1,-0.0065625,-0.0009375,0,-0.0010541,-0.00301421
1,-0.0065625,-0.000117187,0,-0.00282001,-0.000948937
1,-0.00644531,-0.000117187,0,-0.00320845,-0.000819219
1,-0.00644531,0,0,-0.00351366,-0.000445435
1,-0.00632812,-0.000117187,0,-0.00355391,-0.000695563
1,-0.00632812,0,0,-0.00388556,-0.000350842
1,-0.00644531,-0.000234375,0,-0.00287926,-0.00118325
1,-0.00632812,-0.000234375,0,-0.00322307,-0.00102494
1,-0.00621094,-0.000117187,0,-0.00388061,-0.000566228
1,-0.00621094,0,0,-0.00422844,-0.000241066
1,-0.00609375,-0.000117187,0,-0.00419276,-0.000409529
1,-0.00609375,0,0,-0.004548,-8.6479e-05
1,-0.00621094,-0.000234375,0,-0.00353385,-0.000876565
1,-0.00609375,-0.000234375,0,-0.00384463,-0.000728185
1,-0.00632812,-0.00046875,0,-0.00255785,-0.00165587
1,-0.00609375,-0.00046875,0,-0.00311068,-0.00133594
1,-0.00597656,-0.000117187,0,-0.00452066,-0.000224287
1,-0.00597656,0,0,-0.00488763,0.000134652
1,-0.00585938,-0.000117187,0,-0.0048935,-6.67283e-05
1,-0.00585938,0,0,-0.00527992,0.000328404
1,-0.00597656,-0.000234375,0,-0.00417488,-0.000582287
1,-0.00585938,-0.000234375,0,-0.00450513,-0.00043639
1,-0.00574219,-0.000117187,0,-0.00528363,1.49908e-05
1,-0.00574219,0,0,-0.00568582,0.000415181
1,-0.005625,-0.000117187,0,-0.00566779,2.08171e-05
1,-0.005625,0,0,-0.00607953,0.000412568
1,-0.00574219,-0.000234375,0,-0.00485478,-0.000386531
1,-0.005625,-0.000234375,0,-0.00520443,-0.000336672
1,-0.00585938,-0.00046875,0,-0.00365802,-0.00107494
1,-0.005625,-0.00046875,0,-0.00417599,-0.000920298
1,-0.00632812,-0.000703125,0,-0.00195151,-0.00217422
1,-0.00609375,-0.000703125,0,-0.00240033,-0.00182372
1,-0.00632812,-0.0009375,0,-0.00142712,-0.00258737
1,-0.00609375,-0.0009375,0,-0.00177192,-0.0022025
1,-0.00585938,-0.000703125,0,-0.00282034,-0.00152774
1,-0.005625,-0.000703125,0,-0.00318356,-0.0012933
1,-0.00585938,-0.0009375,0,-0.0020801,-0.00185601
1,-0.005625,-0.0009375,0,-0.00232706,-0.00153939
1,-0.0075,-0.00117187,0,0,-0.005
1,-0.00726562,-0.00117187,0,-5.3593e-05,-0.00470545
1,-0.00703125,-0.00117187,0,-0.000214935,-0.00426638
1,-0.0075,-0.00140625,0,0,-0.005
1,-0.00726562,-0.00140625,0,-2.84666e-05,-0.00478616
1,-0.00703125,-0.00140625,0,-0.000124786,-0.00441957
1,-0.00679687,-0.00117187,0,-0.000447001,-0.00379432
1,-0.0065625,-0.00117187,0,-0.000712704,-0.0033283
1,-0.00679687,-0.00140625,0,-0.000270243,-0.00399292
1,-0.0065625,-0.00140625,0,-0.000443354,-0.00354428
1,-0.0075,-0.00164062,0,0,-0.005
1,-0.00726562,-0.00164062,0,-9.46292e-06,-0.00482544
1,-0.00703125,-0.00164062,0,-5.59278e-05,-0.00450394
1,-0.0075,-0.001875,0,0,-0.005
1,-0.00726562,-0.001875,0,3.31114e-06,-0.00483714
1,-0.00703125,-0.001875,0,-6.78087e-06,-0.00453861
1,-0.00679687,-0.00164062,0,-0.000132799,-0.00410901
1,-0.0065625,-0.00164062,0,-0.000229712,-0.00367506
1,-0.00679687,-0.001875,0,-3.16886e-05,-0.00416281
1,-0.0065625,-0.001875,0,-6.91159e-05,-0.00373901
1,-0.00632812,-0.00117187,0,-0.000980429,-0.002889
1,-0.00609375,-0.00117187,0,-0.00122667,-0.00247363
1,-0.00632812,-0.00140625,0,-0.00062082,-0.00309803
1,-0.00609375,-0.00140625,0,-0.000784097,-0.00265825
1,-0.00585938,-0.00117187,0,-0.00143945,-0.0020798
1,-0.005625,-0.00117187,0,-0.00159952,-0.00169679
1,-0.00585938,-0.00140625,0,-0.000921386,-0.00222572
1,-0.005625,-0.00140625,0,-0.00102016,-0.00179246
1,-0.00632812,-0.00164062,0,-0.000331325,-0.00322596
1,-0.00609375,-0.00164062,0,-0.000424475,-0.00277039
1,-0.00632812,-0.001875,0,-0.000110264,-0.00328911
1,-0.00609375,-0.001875,0,-0.000147667,-0.00282398
1,-0.00585938,-0.00164062,0,-0.000500685,-0.00231208
1,-0.005625,-0.00164062,0,-0.000551998,-0.00184767
1,-0.00585938,-0.001875,0,-0.000175733,-0.00234975
1,-0.005625,-0.001875,0,-0.000190951,-0.00186737
1,-0.00550781,-0.000117187,0,-0.00603161,-4.15376e-05
1,-0.00550781,0,0,-0.00645745,0.000329043
1,-0.00539062,-0.000117187,0,-0.00636243,-0.000143629
1,-0.00539062,0,0,-0.006811,0.000203935
1,-0.00550781,-0.000234375,0,-0.00550375,-0.000384436
1,-0.00539062,-0.000234375,0,-0.00580307,-0.000432201
1,-0.00527344,-0.000117187,0,-0.006667,-0.000229943
1,-0.00527344,0,0,-0.00714471,0.000110976
1,-0.00515625,-0.000117187,0,-0.00696861,-0.000269659
1,-0.00515625,0,0,-0.00750913,6.97693e-05
1,-0.00527344,-0.000234375,0,-0.00603451,-0.000482881
1,-0.00515625,-0.000234375,0,-0.00626595,-0.000533561
1,-0.00539062,-0.00046875,0,-0.00458979,-0.000855275
1,-0.00515625,-0.00046875,0,-0.00483881,-0.000751887
1,-0.00503906,-0.000117187,0,-0.00727158,-0.000274311
1,-0.00503906,0,0,-0.00793538,5.97577e-05
1,-0.00492188,-0.000117187,0,-0.00757198,-0.000269988
1,-0.00492188,0,0,-0.00840458,3.82472e-05
1,-0.00503906,-0.000234375,0,-0.00645876,-0.000523892
1,-0.00492188,-0.000234375,0,-0.00665156,-0.000514223
1,-0.00480469,-0.000117187,0,-0.00782795,-0.00022688
1,-0.00480469,0,0,-0.00888595,1.99952e-05
