B,Points_0,Points_1,Points_2,U,V
0.5,-0.0075,0.00160967,0,0,-0.0001
0.5,-0.00749429,0.001604,0,-1.38836e-05,-1.01233e-05
0.5,-0.00749268,0.00160114,0,-1.56626e-05,1.63466e-05
0.5,-0.00749075,0.00159668,0,-1.10604e-05,1.74146e-05
0.5,-0.00748763,0.00158936,0,-1.61961e-05,2.34897e-05
0.5,-0.00748535,0.00158426,0,-1.67096e-05,3.34508e-05
0.5,-0.00748431,0.00158203,0,-1.4953e-05,3.16996e-05
0.5,-0.00748109,0.00157471,0,-1.66941e-05,2.89946e-05
0.5,-0.00747803,0.00156797,0,-1.77276e-05,3.65868e-05
0.5,-0.00747773,0.00156738,0,-1.71514e-05,3.59734e-05
0.5,-0.00747437,0.00156006,0,-1.6493e-05,3.06641e-05
0.5,-0.00747096,0.00155273,0,-1.77027e-05,3.59843e-05
0.5,-0.0074707,0.00155224,0,-1.76978e-05,3.61875e-05
0.5,-0.00746745,0.00154541,0,-1.60252e-05,3.0976e-05
0.5,-0.00746396,0.00153809,0,-1.8178e-05,3.55084e-05
0.5,-0.00746338,0.00153701,0,-1.81747e-05,3.59034e-05
0.5,-0.00746031,0.00153076,0,-1.66879e-05,3.16935e-05
0.5,-0.00745673,0.00152344,0,-1.86898e-05,3.5711e-05
0.5,-0.00745605,0.00152221,0,-1.86515e-05,3.60443e-05
0.5,-0.00745296,0.00151611,0,-1.72428e-05,3.17818e-05
0.5,-0.00744928,0.00150879,0,-1.92038e-05,3.58656e-05
0.5,-0.00744873,0.00150784,0,-1.91555e-05,3.60693e-05
0.5,-0.00744541,0.00150146,0,-1.78424e-05,3.16034e-05
0.5,-0.00744159,0.00149414,0,-1.94394e-05,3.62364e-05
0.5,-0.00744141,0.00149384,0,-1.94313e-05,3.62556e-05
0.5,-0.00743766,0.00148682,0,-1.85415e-05,3.10895e-05
0.5,-0.00743408,0.00148022,0,-1.92361e-05,3.59601e-05
0.5,-0.00743364,0.00147949,0,-1.8428e-05,3.52457e-05
0.5,-0.00742972,0.00147217,0,-1.95282e-05,3.16453e-05
0.5,-0.00742676,0.00146692,0,-1.92117e-05,3.45539e-05
0.5,-0.0074255,0.00146484,0,-1.74994e-05,3.33062e-05
0.5,-0.00742156,0.00145752,0,-2.01287e-05,3.26586e-05
0.5,-0.00741943,0.00145395,0,-1.99716e-05,3.39113e-05
0.5,-0.0074172,0.0014502,0,-1.83685e-05,3.17855e-05
0.5,-0.00741315,0.00144287,0,-2.05251e-05,3.41208e-05
0.5,-0.00741211,0.00144125,0,-2.0471e-05,3.4281e-05
0.5,-0.00740875,0.00143555,0,-1.95983e-05,3.05503e-05
0.5,-0.00740479,0.00142884,0,-2.07778e-05,3.57481e-05
0.5,-0.00740437,0.00142822,0,-2.00157e-05,3.50726e-05
0.5,-0.00740011,0.0014209,0,-2.15093e-05,3.18212e-05
0.5,-0.00739746,0.0014167,0,-2.09418e-05,3.34014e-05
0.5,-0.00739544,0.00141357,0,-1.89651e-05,3.13866e-05
0.5,-0.00739115,0.00140625,0,-2.17251e-05,3.40382e-05
0.5,-0.00739014,0.00140477,0,-2.18246e-05,3.41143e-05
0.5,-0.00738649,0.00139893,0,-2.07849e-05,3.0637e-05
0.5,-0.00738281,0.00139314,0,-2.0809e-05,3.40302e-05
0.5,-0.00738174,0.0013916,0,-1.94463e-05,3.2512e-05
0.5,-0.00737729,0.00138428,0,-2.24756e-05,3.23101e-05
0.5,-0.00737549,0.00138167,0,-2.24949e-05,3.25611e-05
0.5,-0.00737237,0.00137695,0,-2.05754e-05,2.97073e-05
