B,Points_0,Points_1,Points_2,U,V
0.5,-0.0075,0.000839885,0,0,-0.01
0.5,-0.00748535,0.000835062,0,-0.00383095,0.00099589
0.5,-0.00748521,0.000834961,0,-0.0038306,0.00100044
0.5,-0.0074707,0.000825685,0,-0.00354648,0.00222847
0.5,-0.00746243,0.000820312,0,-0.00393172,0.00238271
0.5,-0.00745605,0.000816092,0,-0.00406402,0.00255403
0.5,-0.00744141,0.000807443,0,-0.00432258,0.00261813
0.5,-0.00743875,0.000805664,0,-0.00436785,0.00264203
0.5,-0.00742676,0.000798405,0,-0.00437054,0.00266538
0.5,-0.00741431,0.000791016,0,-0.00449533,0.00265905
0.5,-0.00741211,0.000789565,0,-0.00450556,0.00266248
0.5,-0.00739746,0.00078131,0,-0.0045267,0.002646
0.5,-0.00738907,0.000776367,0,-0.00460049,0.00263684
0.5,-0.00738281,0.000772605,0,-0.0046184,0.00263384
0.5,-0.00736816,0.000764693,0,-0.00468115,0.00260709
0.5,-0.00736122,0.000761719,0,-0.00470862,0.00260649
0.5,-0.00735352,0.000755868,0,-0.00469759,0.00258635
0.5,-0.00735352,0.000755868,0,-0.00469759,0.00258635
0.5,-0.00732422,0.000740753,0,-0.00469,0.0025138
0.5,-0.00730892,0.000732422,0,-0.0047417,0.00252114
0.5,-0.00729492,0.000724766,0,-0.00472258,0.0025025
0.5,-0.00726562,0.00071024,0,-0.00475333,0.00240851
0.5,-0.00725189,0.000703125,0,-0.00481359,0.00240208
0.5,-0.00723633,0.000695143,0,-0.0048074,0.00238145
0.5,-0.00720703,0.00068131,0,-0.00483954,0.00232147
0.5,-0.00719166,0.000673828,0,-0.00489151,0.00231986
0.5,-0.00717773,0.000667015,0,-0.00489262,0.00230449
0.5,-0.00714844,0.000653807,0,-0.00492684,0.0022458
0.5,-0.00712804,0.000644531,0,-0.00500123,0.00223197
0.5,-0.00711914,0.000640299,0,-0.00500833,0.00222379
0.5,-0.00708984,0.000627669,0,-0.00503576,0.00218186
0.5,-0.0070608,0.000615234,0,-0.00513393,0.0021693
0.5,-0.00706055,0.000615115,0,-0.00513425,0.00216913
0.5,-0.00703125,0.000602889,0,-0.00515178,0.00212844
0.5,-0.00700195,0.000591114,0,-0.00523388,0.0020966
0.5,-0.00698938,0.000585937,0,-0.00528962,0.00208897
0.5,-0.00697266,0.000579159,0,-0.00531902,0.00208039
0.5,-0.00694336,0.000567894,0,-0.00541628,0.00205222
0.5,-0.00691406,0.000556747,0,-0.00543545,0.00201604
0.5,-0.00691406,0.000556747,0,-0.00543545,0.00201604
0.5,-0.00685547,0.000535656,0,-0.00542028,0.00190379
0.5,-0.00683255,0.000527344,0,-0.00540562,0.00189836
0.5,-0.00679687,0.000514683,0,-0.00532767,0.00183527
0.5,-0.00673828,0.000495214,0,-0.00533413,0.00174864
0.5,-0.00667969,0.000476656,0,-0.00543011,0.00169751
0.5,-0.00665454,0.00046875,0,-0.00548649,0.00168631
0.5,-0.00662109,0.000458368,0,-0.00547714,0.00163728
0.5,-0.0065625,0.000441332,0,-0.00551903,0.00157768
0.5,-0.00650391,0.000424894,0,-0.00564482,0.00153482
0.5,-0.00644907,0.000410156,0,-0.00575375,0.0015264
0.5,-0.00644531,0.000409083,0,-0.00575577,0.00152286
0.5,-0.00638672,0.000394057,0,-0.00581775,0.00146505
0.5,-0.00632812,0.000379595,0,-0.00593333,0.00143024
0.5,-0.00626953,0.000365734,0,-0.0060839,0.00138969
0.5,-0.00621094,0.000352491,0,-0.00624118,0.00138321
0.5,-0.00620687,0.000351562,0,-0.00626335,0.00138204
0.5,-0.00615234,0.000339701,0,-0.00645448,0.00136954
0.5,-0.00609375,0.000327483,0,-0.00673017,0.00136305
0.5,-0.00603516,0.00031576,0,-0.00698229,0.00132141
0.5,-0.00597656,0.000300845,0,-0.00702705,0.00125663
0.5,-0.00597656,0.000300845,0,-0.00702705,0.00125663
0.5,-0.00585938,0.000283503,0,-0.00650639,0.00104375
0.5,-0.00574219,0.000263981,0,-0.00595376,0.000899814
0.5,-0.005625,0.000246051,0,-0.00561023,0.000797155
0.5,-0.00554274,0.000234375,0,-0.00546136,0.000766071
0.5,-0.00550781,0.000229352,0,-0.00536995,0.000734471
0.5,-0.00539062,0.000214132,0,-0.00522661,0.000656576
0.5,-0.00527344,0.000200008,0,-0.00514127,0.000583816
0.5,-0.00515625,0.000186984,0,-0.00496665,0.000504447
0.5,-0.00503906,0.000174969,0,-0.00474232,0.000430572
0.5,-0.00492188,0.00016388,0,-0.00450685,0.000365287
0.5,-0.00480469,0.000153642,0,-0.00428241,0.000307171
0.5,-0.0046875,0.000144187,0,-0.00409196,0.000264132
0.5,-0.00457031,0.000135453,0,-0.00394221,0.000231162
0.5,-0.00445312,0.000127384,0,-0.00386099,0.000198092
0.5,-0.00433594,0.000119948,0,-0.00381492,0.000178747
0.5,-0.00428922,0.000117187,0,-0.00384036,0.000171917
0.5,-0.00421875,0.000113036,0,-0.00383043,0.000158622
0.5,-0.00410156,0.00010668,0,-0.00391422,0.000146214
0.5,-0.00398438,0.000100803,0,-0.00393045,0.000139033
0.5,-0.00386719,9.53778e-05,0,-0.00386192,0.000127473
0.5,-0.00375,9.03662e-05,0,-0.00375522,0.000113728
0.5,-0.00363281,8.57354e-05,0,-0.00362654,0.000100132
0.5,-0.00351562,8.14555e-05,0,-0.00349062,8.70946e-05
0.5,-0.00339844,7.74997e-05,0,-0.00335047,7.44933e-05
0.5,-0.00328125,7.38435e-05,0,-0.00321053,6.27093e-05
0.5,-0.00316406,7.04636e-05,0,-0.00307149,5.18635e-05
0.5,-0.00304688,6.73392e-05,0,-0.00293505,4.20682e-05
0.5,-0.00292969,6.44505e-05,0,-0.00280157,3.31807e-05
0.5,-0.0028125,6.17796e-05,0,-0.0026718,2.51047e-05
0.5,-0.00269531,5.93097e-05,0,-0.00254593,1.79577e-05
0.5,-0.00257812,5.70258e-05,0,-0.00242434,1.17173e-05
0.5,-0.00246094,5.49134e-05,0,-0.00230713,6.18666e-06
0.5,-0.00234375,5.29592e-05,0,-0.00219441,1.3577e-06
0.5,-0.00222656,5.11514e-05,0,-0.00208619,-2.89063e-06
0.5,-0.00210938,4.94787e-05,0,-0.00198247,-6.69184e-06
0.5,-0.00199219,4.79309e-05,0,-0.00188311,-1.00954e-05
0.5,-0.001875,4.64986e-05,0,-0.00178804,-1.30915e-05
0.5,-0.00175781,4.5173e-05,0,-0.00169712,-1.56737e-05
0.5,-0.00164062,4.39458e-05,0,-0.00161024,-1.78672e-05
0.5,-0.00152344,4.28098e-05,0,-0.00152728,-1.97193e-05
0.5,-0.00140625,4.17579e-05,0,-0.00144812,-2.12755e-05
0.5,-0.00128906,4.07839e-05,0,-0.00137262,-2.25731e-05
0.5,-0.00117187,3.98818e-05,0,-0.00130066,-2.36479e-05
0.5,-0.00105469,3.9046e-05,0,-0.00123209,-2.45416e-05
0.5,-0.0009375,3.82719e-05,0,-0.0011668,-2.52996e-05
0.5,-0.000820312,3.75545e-05,0,-0.00110463,-2.59479e-05
0.5,-0.000703125,3.68898e-05,0,-0.00104545,-2.65104e-05
0.5,-0.000585937,3.62736e-05,0,-0.000989119,-2.69697e-05
0.5,-0.00046875,3.57024e-05,0,-0.000935592,-2.73741e-05
0.5,-0.000351562,3.5173e-05,0,-0.000884733,-2.76477e-05
0.5,-0.000234375,3.4682e-05,0,-0.0008363,-2.78576e-05
0.5,-0.000117187,3.42263e-05,0,-0.000790288,-2.80393e-05
0.5,0,3.38038e-05,0,-0.000746358,-2.82315e-05
0.5,0.000117187,3.34117e-05,0,-0.000704252,-2.84369e-05
0.5,0.000234375,3.30477e-05,0,-0.000664395,-2.86368e-05
0.5,0.000351562,3.27099e-05,0,-0.000626766,-2.88768e-05
0.5,0.00046875,3.23966e-05,0,-0.000591043,-2.90664e-05
0.5,0.000585937,3.21053e-05,0,-0.000557089,-2.92494e-05
0.5,0.000703125,3.1835e-05,0,-0.000524787,-2.93879e-05
0.5,0.000820312,3.1584e-05,0,-0.00049407,-2.94799e-05
0.5,0.0009375,3.13506e-05,0,-0.000464871,-2.95216e-05
0.5,0.00105469,3.1134e-05,0,-0.000437124,-2.95142e-05
0.5,0.00117187,3.09324e-05,0,-0.000410771,-2.94626e-05
0.5,0.00128906,3.07454e-05,0,-0.000385755,-2.93707e-05
0.5,0.00140625,3.05713e-05,0,-0.000362022,-2.92448e-05
0.5,0.00152344,3.04093e-05,0,-0.000339518,-2.9091e-05
0.5,0.00164062,3.02589e-05,0,-0.000318192,-2.89148e-05
0.5,0.00175781,3.01188e-05,0,-0.000297995,-2.87212e-05
0.5,0.001875,2.99886e-05,0,-0.000278879,-2.85138e-05
0.5,0.00199219,2.98672e-05,0,-0.000260796,-2.8297e-05
0.5,0.00210938,2.97545e-05,0,-0.000243701,-2.8075e-05
0.5,0.00222656,2.96495e-05,0,-0.00022755,-2.78519e-05
0.5,0.00234375,2.95515e-05,0,-0.000212298,-2.76299e-05
0.5,0.00246094,2.94606e-05,0,-0.000197904,-2.74094e-05
0.5,0.00257812,2.93757e-05,0,-0.000184328,-2.71885e-05
0.5,0.00269531,2.92965e-05,0,-0.00017153,-2.69647e-05
0.5,0.0028125,2.92229e-05,0,-0.000159473,-2.67369e-05
0.5,0.00292969,2.91545e-05,0,-0.000148124,-2.65056e-05
0.5,0.00304688,2.90905e-05,0,-0.000137447,-2.62729e-05
0.5,0.00316406,2.9031e-05,0,-0.00012741,-2.60431e-05
0.5,0.00328125,2.89754e-05,0,-0.00011798,-2.58215e-05
0.5,0.00339844,2.89236e-05,0,-0.000109125,-2.56131e-05
0.5,0.00351562,2.88756e-05,0,-0.000100811,-2.54208e-05
0.5,0.00363281,2.88306e-05,0,-9.30085e-05,-2.52441e-05
0.5,0.00375,2.87886e-05,0,-8.56895e-05,-2.50796e-05
0.5,0.00386719,2.87495e-05,0,-7.88274e-05,-2.49222e-05
0.5,0.00398438,2.87129e-05,0,-7.2398e-05,-2.47674e-05
0.5,0.00410156,2.86789e-05,0,-6.63793e-05,-2.46133e-05
0.5,0.00421875,2.86473e-05,0,-6.07496e-05,-2.44616e-05
0.5,0.00433594,2.86178e-05,0,-5.54875e-05,-2.43162e-05
0.5,0.00445312,2.85903e-05,0,-5.05717e-05,-2.41803e-05
0.5,0.00457031,2.85646e-05,0,-4.59815e-05,-2.40544e-05
0.5,0.0046875,2.85407e-05,0,-4.16978e-05,-2.39361e-05
0.5,0.00480469,2.85186e-05,0,-3.77037e-05,-2.38221e-05
0.5,0.00492188,2.84978e-05,0,-3.39835e-05,-2.37099e-05
0.5,0.00503906,2.84786e-05,0,-3.05236e-05,-2.35963e-05
0.5,0.00515625,2.84607e-05,0,-2.73118e-05,-2.34769e-05
0.5,0.00527344,2.84441e-05,0,-2.43375e-05,-2.3348e-05
0.5,0.00539062,2.84286e-05,0,-2.15913e-05,-2.3214e-05
0.5,0.00550781,2.84146e-05,0,-1.90618e-05,-2.3091e-05
0.5,0.005625,2.84014e-05,0,-1.67332e-05,-2.30003e-05
0.5,0.00574219,2.83893e-05,0,-1.45871e-05,-2.29519e-05
0.5,0.00585938,2.83782e-05,0,-1.26069e-05,-2.29321e-05
0.5,0.00597656,2.83679e-05,0,-1.07839e-05,-2.29102e-05
0.5,0.00609375,2.83586e-05,0,-9.1177e-06,-2.28613e-05
0.5,0.00621094,2.83501e-05,0,-7.61135e-06,-2.27895e-05
0.5,0.00632812,2.83424e-05,0,-6.26167e-06,-2.27191e-05
0.5,0.00644531,2.83356e-05,0,-5.06089e-06,-2.26643e-05
0.5,0.0065625,2.83293e-05,0,-3.99985e-06,-2.26148e-05
0.5,0.00667969,2.83239e-05,0,-3.07762e-06,-2.25583e-05
0.5,0.00679687,2.83194e-05,0,-2.29097e-06,-2.25121e-05
0.5,0.00691406,2.83154e-05,0,-1.63105e-06,-2.25104e-05
0.5,0.00703125,2.83121e-05,0,-1.0784e-06,-2.2613e-05
0.5,0.00714844,2.83096e-05,0,-6.00842e-07,-2.27208e-05
0.5,0.00726562,2.83077e-05,0,-2.14477e-07,-2.2654e-05
0.5,0.00738281,2.83067e-05,0,6.53246e-08,-2.28436e-05
0.5,0.0075,2.83063e-05,0,0,0
