B,Points_0,Points_1,Points_2,U,V
0.5,-0.0075,0.000962474,0,0,-0.005
0.5,-0.00749268,0.000959508,0,-0.00202468,0.000336504
0.5,-0.00749264,0.000959473,0,-0.0020233,0.000337698
0.5,-0.00748535,0.000953787,0,-0.00169564,0.0012394
0.5,-0.00748339,0.000952148,0,-0.00178983,0.00134429
0.5,-0.00747803,0.000947919,0,-0.00187199,0.00147994
0.5,-0.00747419,0.000944824,0,-0.00194479,0.00149557
0.5,-0.0074707,0.000941987,0,-0.00198024,0.00150425
0.5,-0.00746483,0.0009375,0,-0.00202119,0.00152147
0.5,-0.00746338,0.000936311,0,-0.00202931,0.00152907
0.5,-0.00745605,0.000930998,0,-0.00204408,0.00152426
0.5,-0.00745504,0.000930176,0,-0.00205156,0.00152892
0.5,-0.00744873,0.000925488,0,-0.00204623,0.00152591
0.5,-0.00744536,0.000922852,0,-0.00206019,0.00152887
0.5,-0.00744141,0.000919798,0,-0.00206649,0.00153133
0.5,-0.00743559,0.000915527,0,-0.00208463,0.00153653
0.5,-0.00743408,0.000914325,0,-0.00208689,0.00153614
0.5,-0.00742676,0.000909231,0,-0.00209304,0.00151963
0.5,-0.00742546,0.000908203,0,-0.00209899,0.00152195
0.5,-0.00741943,0.000903873,0,-0.00209408,0.00151417
0.5,-0.00741541,0.000900879,0,-0.0021039,0.00151432
0.5,-0.00741211,0.000898382,0,-0.00210566,0.00151177
0.5,-0.00740519,0.000893555,0,-0.00212158,0.00150636
0.5,-0.00740479,0.000893242,0,-0.002122,0.00150581
0.5,-0.00739746,0.000888256,0,-0.00212006,0.00149092
0.5,-0.00739475,0.00088623,0,-0.00212898,0.0014921
0.5,-0.00739014,0.000882931,0,-0.00213239,0.00149071
0.5,-0.00738433,0.000878906,0,-0.00214823,0.00149013
0.5,-0.00738281,0.00087776,0,-0.00215091,0.00148904
0.5,-0.00737549,0.000872972,0,-0.00215809,0.0014798
0.5,-0.00737361,0.000871582,0,-0.00216601,0.00148156
0.5,-0.00736816,0.00086784,0,-0.00217143,0.00148107
0.5,-0.00736293,0.000864258,0,-0.00218642,0.00147882
0.5,-0.00736084,0.000862729,0,-0.00219036,0.00147765
0.5,-0.00735352,0.000857693,0,-0.00219092,0.00147296
0.5,-0.00735352,0.000857692,0,-0.00219092,0.00147296
0.5,-0.00734054,0.000849609,0,-0.00221423,0.00146463
0.5,-0.00733887,0.000848015,0,-0.00221483,0.00146259
0.5,-0.00732422,0.000838853,0,-0.00220552,0.00143364
0.5,-0.00731855,0.000834961,0,-0.00221949,0.00143671
0.5,-0.00730957,0.000829035,0,-0.00221803,0.0014294
0.5,-0.00729565,0.000820312,0,-0.0022434,0.00141872
0.5,-0.00729492,0.00081979,0,-0.00224398,0.0014178
0.5,-0.00728027,0.000810857,0,-0.00223858,0.00139428
0.5,-0.0072721,0.000805664,0,-0.00225622,0.00139688
0.5,-0.00726562,0.000801469,0,-0.00225797,0.00139289
0.5,-0.00725098,0.000792952,0,-0.00227244,0.00137016
0.5,-0.00724805,0.000791016,0,-0.00228001,0.00137293
0.5,-0.00723633,0.000783967,0,-0.00227636,0.00136217
0.5,-0.00722344,0.000776367,0,-0.00230024,0.00135525
0.5,-0.00722168,0.000775207,0,-0.00230141,0.0013537
0.5,-0.00720703,0.000766927,0,-0.00230151,0.00133409
0.5,-0.00719816,0.000761719,0,-0.0023173,0.00133452
0.5,-0.00719238,0.000758216,0,-0.0023186,0.0013308
0.5,-0.00717773,0.00075028,0,-0.0023266,0.00130892
0.5,-0.00717231,0.00074707,0,-0.00233658,0.00131149
0.5,-0.00716309,0.000741819,0,-0.00233594,0.00130534
0.5,-0.00714844,0.000733989,0,-0.00235184,0.00128748
0.5,-0.00714582,0.000732422,0,-0.00235768,0.00128958
0.5,-0.00713379,0.000725851,0,-0.00235542,0.00128029
0.5,-0.00711914,0.000718053,0,-0.00237981,0.00126985
0.5,-0.00711868,0.000717773,0,-0.00238109,0.00127025
0.5,-0.00710449,0.000710266,0,-0.00237968,0.00125787
0.5,-0.00709083,0.000703125,0,-0.00240396,0.00125233
0.5,-0.00708984,0.000702542,0,-0.00240472,0.0012517
0.5,-0.0070752,0.000695064,0,-0.00240704,0.00123853
0.5,-0.00706229,0.000688477,0,-0.00242951,0.00123447
0.5,-0.00706055,0.000687497,0,-0.00243068,0.00123347
0.5,-0.0070459,0.000680242,0,-0.00243419,0.00122015
0.5,-0.007033,0.000673828,0,-0.00245599,0.00121648
0.5,-0.00703125,0.000672868,0,-0.00245717,0.00121552
0.5,-0.0070166,0.000665785,0,-0.00246123,0.00120277
0.5,-0.00700296,0.00065918,0,-0.00248343,0.00119872
0.5,-0.00700195,0.000658636,0,-0.00248415,0.00119818
0.5,-0.0069873,0.000651692,0,-0.00248961,0.00118709
0.5,-0.00697266,0.000644808,0,-0.00251402,0.00118226
0.5,-0.00697213,0.000644531,0,-0.00251541,0.00118247
0.5,-0.00695801,0.000637949,0,-0.00252243,0.00117282
0.5,-0.00694336,0.000631311,0,-0.00254492,0.00116735
0.5,-0.00694045,0.000629883,0,-0.0025525,0.00116752
0.5,-0.00692871,0.00062452,0,-0.00256354,0.00116268
0.5,-0.00691406,0.000620726,0,-0.00255532,0.00114507
0.5,-0.00691406,0.000620726,0,-0.00255532,0.00114507
0.5,-0.00690239,0.000615234,0,-0.00256373,0.0011353
0.5,-0.00688477,0.000605014,0,-0.00255541,0.00111932
0.5,-0.00685547,0.000592596,0,-0.00255852,0.00109036
0.5,-0.00684002,0.000585937,0,-0.00256526,0.00109141
0.5,-0.00682617,0.000579936,0,-0.00255777,0.0010791
0.5,-0.00679687,0.000568068,0,-0.00256493,0.00105127
0.5,-0.00676842,0.000556641,0,-0.00260016,0.00104716
0.5,-0.00676758,0.00055627,0,-0.00260018,0.00104656
0.5,-0.00673828,0.000544812,0,-0.00258526,0.00101664
0.5,-0.00670898,0.000533695,0,-0.00261813,0.00100057
0.5,-0.00669233,0.000527344,0,-0.00263704,0.00100017
0.5,-0.00667969,0.000522462,0,-0.00263465,0.000989836
0.5,-0.00665039,0.000511877,0,-0.00264258,0.000968294
0.5,-0.00662109,0.00050153,0,-0.00268065,0.000957543
0.5,-0.00661154,0.000498047,0,-0.00269238,0.000957899
0.5,-0.0065918,0.000491072,0,-0.00268786,0.000942338
0.5,-0.0065625,0.000481107,0,-0.00270987,0.000926185
0.5,-0.0065332,0.00047142,0,-0.00274762,0.000917453
0.5,-0.00652541,0.00046875,0,-0.00275639,0.000918204
0.5,-0.00650391,0.00046167,0,-0.00275495,0.000903442
0.5,-0.00647461,0.000452326,0,-0.00278074,0.000888683
0.5,-0.00644531,0.00044325,0,-0.00281739,0.000881075
0.5,-0.00643326,0.000439453,0,-0.00283357,0.000880576
0.5,-0.00641602,0.000434099,0,-0.00283881,0.000869956
0.5,-0.00638672,0.000425379,0,-0.00286195,0.000856287
0.5,-0.00635742,0.000416803,0,-0.00290044,0.000847923
0.5,-0.00633436,0.000410156,0,-0.00292927,0.000846841
0.5,-0.00632812,0.000408282,0,-0.00293243,0.00084379
0.5,-0.00629883,0.000400126,0,-0.00294458,0.000827488
0.5,-0.00626953,0.000392062,0,-0.00298111,0.00081715
0.5,-0.00624023,0.000384243,0,-0.00301994,0.00081259
0.5,-0.00622769,0.000380859,0,-0.00304013,0.000812538
0.5,-0.00621094,0.000376388,0,-0.00305316,0.000805043
0.5,-0.00618164,0.000368875,0,-0.00308907,0.000794181
0.5,-0.00615234,0.000361467,0,-0.00313333,0.000785482
0.5,-0.00612305,0.00035428,0,-0.00317917,0.000784774
0.5,-0.00611211,0.000351562,0,-0.00320099,0.000786312
0.5,-0.00609375,0.000347074,0,-0.00322574,0.000783138
0.5,-0.00606445,0.000340156,0,-0.0033001,0.000778519
0.5,-0.00603516,0.000333344,0,-0.00336245,0.000777259
0.5,-0.00600586,0.000326702,0,-0.00343816,0.000773816
0.5,-0.00598222,0.000322266,0,-0.00349255,0.00077247
0.5,-0.00597656,0.000320967,0,-0.0035054,0.000773298
0.5,-0.00597656,0.000320967,0,-0.0035054,0.000773299
0.5,-0.00591797,0.000307513,0,-0.00342413,0.000708689
0.5,-0.00585938,0.000295425,0,-0.00332833,0.000693705
0.5,-0.00584745,0.000292969,0,-0.00331883,0.000693497
0.5,-0.00580078,0.000283651,0,-0.00325909,0.000657835
0.5,-0.00574219,0.000272461,0,-0.00325162,0.00062457
0.5,-0.00568359,0.000261702,0,-0.00324649,0.000593758
0.5,-0.005625,0.000251373,0,-0.00323247,0.000568239
0.5,-0.00556641,0.000241479,0,-0.00324948,0.000548377
0.5,-0.00552282,0.000234375,0,-0.00327316,0.00054422
0.5,-0.00550781,0.000231881,0,-0.00327139,0.00053801
0.5,-0.00544922,0.000222788,0,-0.00329168,0.000519222
0.5,-0.00539062,0.000213999,0,-0.00334076,0.000501216
0.5,-0.00533203,0.000205559,0,-0.00336712,0.000480777
0.5,-0.00527344,0.000197453,0,-0.00338112,0.000460063
0.5,-0.00521484,0.000189664,0,-0.00340296,0.000445433
0.5,-0.00515625,0.000182186,0,-0.00345581,0.000437549
0.5,-0.00510406,0.000175781,0,-0.00352613,0.000437148
0.5,-0.00509766,0.000174976,0,-0.00353188,0.00043601
0.5,-0.00503906,0.000168086,0,-0.00361739,0.000429116
0.5,-0.00498047,0.000161447,0,-0.00371955,0.000420564
0.5,-0.00492188,0.000155069,0,-0.00379813,0.000409911
0.5,-0.00486328,0.00014894,0,-0.00386858,0.000398179
0.5,-0.00480469,0.00014305,0,-0.00394173,0.00038896
0.5,-0.00474609,0.000137389,0,-0.00403214,0.000381489
0.5,-0.0046875,0.000131947,0,-0.00414721,0.000378041
0.5,-0.00462891,0.000126715,0,-0.00429824,0.00038006
0.5,-0.00457031,0.000121684,0,-0.00451427,0.000389276
0.5,-0.00451586,0.000117187,0,-0.00487905,0.000377285
0.5,-0.00451172,0.000116839,0,-0.00490508,0.000378437
0.5,-0.00445312,0.000110607,0,-0.00505695,0.000374444
0.5,-0.00445312,0.000110607,0,-0.00505695,0.000374444
0.5,-0.00433594,0.000103467,0,-0.00466224,0.000314339
0.5,-0.00421875,9.53455e-05,0,-0.0041942,0.000265156
0.5,-0.00410156,8.78382e-05,0,-0.00381142,0.000223772
0.5,-0.00398438,8.08982e-05,0,-0.00348957,0.000191794
0.5,-0.00386719,7.44824e-05,0,-0.00320607,0.000165167
0.5,-0.00375,6.85514e-05,0,-0.00295584,0.000141727
0.5,-0.00363281,6.30679e-05,0,-0.00272267,0.000121148
0.5,-0.00351562,5.79984e-05,0,-0.00250928,0.000103995
0.5,-0.00339844,5.33107e-05,0,-0.00231044,8.91623e-05
0.5,-0.00328125,4.89762e-05,0,-0.00212793,7.59731e-05
0.5,-0.00316406,4.49677e-05,0,-0.00195849,6.46092e-05
0.5,-0.00304688,4.12606e-05,0,-0.00180308,5.49316e-05
0.5,-0.00292969,3.78319e-05,0,-0.00165955,4.66689e-05
0.5,-0.0028125,3.46604e-05,0,-0.0015281,3.96636e-05
0.5,-0.00269531,3.17267e-05,0,-0.00140718,3.37891e-05
0.5,-0.00257812,2.90129e-05,0,-0.00129655,2.93484e-05
0.5,-0.00246094,2.65023e-05,0,-0.00119528,2.55673e-05
0.5,-0.00234375,2.41799e-05,0,-0.00110272,2.18943e-05
0.5,-0.00222656,2.20309e-05,0,-0.00101799,1.87681e-05
0.5,-0.00210938,2.00429e-05,0,-0.000940659,1.61075e-05
0.5,-0.00199219,1.82034e-05,0,-0.000869972,1.38454e-05
0.5,-0.001875,1.65011e-05,0,-0.000805508,1.19213e-05
0.5,-0.00175781,1.49261e-05,0,-0.000746645,1.02851e-05
0.5,-0.00164062,1.34683e-05,0,-0.000693004,8.89324e-06
0.5,-0.00152344,1.21195e-05,0,-0.000644089,7.70958e-06
0.5,-0.00140625,1.0871e-05,0,-0.000599573,6.70279e-06
0.5,-0.00128906,9.71528e-06,0,-0.000559068,5.8469e-06
0.5,-0.00117187,8.64583e-06,0,-0.000522299,5.11926e-06
0.5,-0.00105469,7.65583e-06,0,-0.000488972,4.501e-06
0.5,-0.0009375,6.73942e-06,0,-0.000458862,3.97582e-06
0.5,-0.000820312,5.89098e-06,0,-0.000431748,3.52909e-06
0.5,-0.000703125,5.1056e-06,0,-0.000407426,3.1489e-06
0.5,-0.000585937,4.37834e-06,0,-0.000385712,2.82266e-06
0.5,-0.00046875,3.70498e-06,0,-0.000366313,2.5411e-06
0.5,-0.000351562,3.08155e-06,0,-0.000348945,2.29072e-06
0.5,-0.000234375,2.50429e-06,0,-0.000332931,2.06207e-06
0.5,-0.000117187,1.96945e-06,0,-0.000317617,1.83516e-06
0.5,0,1.47374e-06,0,-0.000301662,1.58883e-06
0.5,0.000117187,1.0139e-06,0,-0.000284842,1.29468e-06
0.5,0.000234375,5.86871e-07,0,-0.000271673,9.04338e-07
0.5,0.000351562,1.90588e-07,0,-0.000271739,3.64851e-07
0.5,0.000412479,0,0,-0.000280459,6.49242e-08
0.5,0.00046875,-1.76049e-07,0,-0.0002879,-1.43208e-07
0.5,0.000585937,-5.14451e-07,0,-0.000304425,-3.25489e-07
0.5,0.000703125,-8.27339e-07,0,-0.000308646,-3.36602e-07
0.5,0.000820312,-1.11679e-06,0,-0.000303211,-2.92073e-07
0.5,0.0009375,-1.38516e-06,0,-0.00029292,-2.26872e-07
0.5,0.00105469,-1.63429e-06,0,-0.000280858,-1.61852e-07
0.5,0.00117187,-1.86538e-06,0,-0.000268493,-1.05772e-07
0.5,0.00128906,-2.07983e-06,0,-0.000256365,-6.28886e-08
0.5,0.00140625,-2.27882e-06,0,-0.000244649,-3.19965e-08
0.5,0.00152344,-2.46327e-06,0,-0.000233334,-1.18732e-08
0.5,0.00164062,-2.6346e-06,0,-0.000222404,3.46791e-10
0.5,0.00175781,-2.7935e-06,0,-0.000211821,6.31511e-09
0.5,0.001875,-2.94069e-06,0,-0.000201573,8.07275e-09
0.5,0.00199219,-3.07756e-06,0,-0.000191646,6.74589e-09
0.5,0.00210938,-3.20436e-06,0,-0.000182043,3.47862e-09
0.5,0.00222656,-3.32202e-06,0,-0.000172759,-1.1285e-09
0.5,0.00234375,-3.43124e-06,0,-0.000163799,-6.44168e-09
0.5,0.00246094,-3.53272e-06,0,-0.000155161,-1.21606e-08
0.5,0.00257812,-3.62694e-06,0,-0.000146846,-1.79768e-08
0.5,0.00269531,-3.71412e-06,0,-0.00013885,-2.37669e-08
0.5,0.0028125,-3.79522e-06,0,-0.000131172,-2.93619e-08
0.5,0.00292969,-3.87068e-06,0,-0.000123805,-3.46834e-08
0.5,0.00304688,-3.94053e-06,0,-0.000116747,-3.97301e-08
0.5,0.00316406,-4.00545e-06,0,-0.000109986,-4.4416e-08
0.5,0.00328125,-4.06569e-06,0,-0.00010352,-4.8807e-08
0.5,0.00339844,-4.1217e-06,0,-9.73337e-05,-5.27984e-08
0.5,0.00351562,-4.17373e-06,0,-9.14301e-05,-5.65503e-08
0.5,0.00363281,-4.22202e-06,0,-8.57734e-05,-6.04891e-08
0.5,0.00375,-4.26701e-06,0,-8.03597e-05,-6.30761e-08
0.5,0.00386719,-4.30873e-06,0,-7.52474e-05,-6.53802e-08
0.5,0.00398438,-4.3474e-06,0,-7.03594e-05,-6.84713e-08
0.5,0.00410156,-4.38326e-06,0,-6.56808e-05,-7.08379e-08
0.5,0.00421875,-4.41678e-06,0,-6.12293e-05,-7.28812e-08
0.5,0.00433594,-4.44771e-06,0,-5.69835e-05,-7.47831e-08
0.5,0.00445312,-4.47655e-06,0,-5.29425e-05,-7.64425e-08
0.5,0.00457031,-4.50326e-06,0,-4.90926e-05,-7.79594e-08
0.5,0.0046875,-4.52811e-06,0,-4.54285e-05,-7.9285e-08
0.5,0.00480469,-4.55107e-06,0,-4.19402e-05,-8.04799e-08
0.5,0.00492188,-4.5724e-06,0,-3.86212e-05,-8.15201e-08
0.5,0.00503906,-4.59233e-06,0,-3.54637e-05,-8.24379e-08
0.5,0.00515625,-4.61061e-06,0,-3.24612e-05,-8.32351e-08
0.5,0.00527344,-4.62771e-06,0,-2.96071e-05,-8.39266e-08
0.5,0.00539062,-4.64341e-06,0,-2.68958e-05,-8.45194e-08
0.5,0.00550781,-4.65795e-06,0,-2.43218e-05,-8.50339e-08
0.5,0.005625,-4.67131e-06,0,-2.18803e-05,-8.54678e-08
0.5,0.00574219,-4.68349e-06,0,-1.95674e-05,-8.58448e-08
0.5,0.00585938,-4.69498e-06,0,-1.7379e-05,-8.615e-08
0.5,0.00597656,-4.70529e-06,0,-1.5313e-05,-8.64207e-08
0.5,0.00609375,-4.71491e-06,0,-1.33663e-05,-8.66338e-08
0.5,0.00621094,-4.72357e-06,0,-1.15388e-05,-8.68404e-08
0.5,0.00632812,-4.73131e-06,0,-9.82848e-06,-8.70086e-08
0.5,0.00644531,-4.73834e-06,0,-8.2381e-06,-8.72022e-08
0.5,0.0065625,-4.74467e-06,0,-6.76606e-06,-8.73552e-08
