B,Points_0,Points_1,Points_2,U,V
0.5,-0.00257812,-4.67796e-08,0,-0.000436576,6.48308e-05
0.5,-0.00257949,0,0,-0.000436171,6.50522e-05
0.5,-0.00246094,-3.71436e-06,0,-0.000564147,4.87093e-05
0.5,-0.00234375,-7.09591e-06,0,-0.000701555,3.26265e-05
0.5,-0.00222656,-1.02114e-05,0,-0.000768009,1.70047e-05
0.5,-0.00210938,-1.30842e-05,0,-0.000790887,3.31636e-06
0.5,-0.00199219,-1.57347e-05,0,-0.000786912,-7.63054e-06
0.5,-0.001875,-1.81813e-05,0,-0.000770905,-1.55477e-05
0.5,-0.00175781,-2.044e-05,0,-0.000748481,-2.06396e-05
0.5,-0.00164062,-2.25254e-05,0,-0.000723285,-2.33299e-05
0.5,-0.00152344,-2.44513e-05,0,-0.000696731,-2.4244e-05
0.5,-0.00140625,-2.62302e-05,0,-0.000669796,-2.40994e-05
0.5,-0.00128906,-2.78729e-05,0,-0.000642927,-2.35856e-05
0.5,-0.00117187,-2.939e-05,0,-0.000616423,-2.32566e-05
0.5,-0.00105469,-3.07907e-05,0,-0.000590361,-2.34953e-05
0.5,-0.0009375,-3.20832e-05,0,-0.000564755,-2.44182e-05
0.5,-0.000820312,-3.32757e-05,0,-0.000539506,-2.5829e-05
0.5,-0.000703125,-3.43759e-05,0,-0.000514612,-2.74056e-05
0.5,-0.000585937,-3.53905e-05,0,-0.00048997,-2.87803e-05
0.5,-0.00046875,-3.63266e-05,0,-0.00046572,-2.96369e-05
0.5,-0.000351562,-3.71907e-05,0,-0.000441737,-2.97218e-05
0.5,-0.000234375,-3.79887e-05,0,-0.000418417,-2.89407e-05
0.5,-0.000117187,-3.87268e-05,0,-0.000395225,-2.73144e-05
0.5,0,-3.94095e-05,0,-0.00037244,-2.48077e-05
0.5,-0.00749922,0.00154541,0,-4.69186e-06,-0.000129262
0.5,-0.0075,0.00154595,0,0,-0.00015
0.5,-0.00749268,0.00153831,0,-3.80966e-05,6.52731e-05
0.5,-0.00749256,0.00153809,0,-3.74406e-05,6.55418e-05
0.5,-0.00748896,0.00153076,0,-3.35719e-05,6.33034e-05
0.5,-0.00748535,0.00152358,0,-3.56861e-05,9.10519e-05
0.5,-0.00748527,0.00152344,0,-3.53818e-05,9.09153e-05
0.5,-0.00748156,0.00151611,0,-3.52735e-05,8.06749e-05
0.5,-0.00747803,0.00150928,0,-3.6073e-05,9.39885e-05
0.5,-0.00747775,0.00150879,0,-3.5186e-05,9.35107e-05
0.5,-0.00747396,0.00150146,0,-3.58199e-05,8.59571e-05
0.5,-0.0074707,0.00149537,0,-3.579e-05,9.31696e-05
0.5,-0.00746998,0.00149414,0,-3.40642e-05,9.22326e-05
0.5,-0.00746615,0.00148682,0,-3.59918e-05,8.80294e-05
0.5,-0.00746338,0.00148182,0,-3.62479e-05,9.25377e-05
0.5,-0.00746202,0.00147949,0,-3.42037e-05,9.13948e-05
0.5,-0.00745814,0.00147217,0,-3.7071e-05,9.12804e-05
0.5,-0.00745605,0.00146859,0,-3.72066e-05,9.35409e-05
0.5,-0.00745387,0.00146484,0,-3.54313e-05,9.16294e-05
0.5,-0.00744988,0.00145752,0,-3.76522e-05,9.41953e-05
