B,Points_0,Points_1,Points_2,U,V
0.5,-0.00748617,0.00121582,0,-4.2558e-05,1.25758e-06
0.5,-0.0075,0.00122289,0,0,-0.00015
0.5,-0.00748535,0.00121527,0,-4.47764e-05,9.79683e-06
0.5,-0.00747146,0.00120117,0,-5.16156e-05,4.22369e-05
0.5,-0.0074707,0.00120041,0,-5.19659e-05,4.41678e-05
0.5,-0.00745662,0.00118652,0,-4.9473e-05,4.94556e-05
0.5,-0.00745605,0.00118596,0,-4.96292e-05,4.97489e-05
0.5,-0.00744141,0.00117189,0,-5.13777e-05,5.0724e-05
0.5,-0.00744138,0.00117187,0,-5.13855e-05,5.07527e-05
0.5,-0.00742676,0.00115819,0,-4.41518e-05,3.98692e-05
0.5,-0.00742576,0.00115723,0,-4.58219e-05,4.21924e-05
0.5,-0.00741211,0.00114471,0,-3.25034e-05,3.21305e-05
0.5,-0.00740986,0.00114258,0,-3.7625e-05,3.71898e-05
0.5,-0.00739746,0.0011314,0,-2.81227e-05,3.15059e-05
0.5,-0.00739371,0.00112793,0,-3.66924e-05,3.72766e-05
0.5,-0.00738281,0.00111823,0,-3.50622e-05,3.55244e-05
0.5,-0.00737732,0.00111328,0,-4.28937e-05,3.87015e-05
0.5,-0.00736816,0.00110517,0,-4.51021e-05,3.69979e-05
0.5,-0.00735801,0.00109863,0,-2.95459e-05,2.66479e-05
0.5,-0.00735352,0.00109496,0,-2.7802e-05,2.45209e-05
0.5,-0.00733852,0.00108398,0,-2.6576e-05,6.64687e-06
0.5,-0.00735352,0.00109496,0,-2.7802e-05,2.45209e-05
0.5,-0.00732422,0.00106782,0,-3.03881e-05,1.39169e-05
0.5,-0.0073084,0.00105469,0,-2.46848e-05,3.07026e-05
0.5,-0.00729492,0.00104354,0,-2.3117e-05,2.8377e-05
0.5,-0.00727161,0.00102539,0,-4.52057e-05,4.34488e-05
0.5,-0.00726562,0.00102037,0,-4.67825e-05,4.43253e-05
0.5,-0.00723633,0.000999174,0,-3.29501e-05,2.83489e-05
0.5,-0.00723265,0.000996094,0,-4.05947e-05,3.5513e-05
0.5,-0.00720703,0.000977349,0,-2.01115e-06,8.86851e-06
0.5,-0.00719249,0.000966797,0,-2.48273e-05,4.04298e-05
0.5,-0.00717773,0.00095613,0,-1.63718e-05,3.96935e-05
0.5,-0.00715065,0.0009375,0,-6.43423e-05,5.77821e-05
0.5,-0.00714844,0.000935749,0,-6.54635e-05,5.8259e-05
0.5,-0.00711914,0.000916653,0,-4.47246e-05,3.2429e-05
0.5,-0.00710668,0.000908203,0,-7.00591e-05,5.67061e-05
0.5,-0.00708984,0.000897095,0,-6.34978e-05,6.02777e-05
0.5,-0.00706095,0.000878906,0,-0.00010591,7.2829e-05
0.5,-0.00706055,0.000878609,0,-0.000106142,7.28942e-05
0.5,-0.00703125,0.00086078,0,-0.000100069,6.77471e-05
0.5,-0.00701291,0.000849609,0,-0.000129147,8.85796e-05
0.5,-0.00700195,0.000842681,0,-0.000132647,9.41019e-05
0.5,-0.00697266,0.000826307,0,-0.000155117,9.33024e-05
0.5,-0.00696273,0.000820312,0,-0.000176493,0.000102552
0.5,-0.00694336,0.000809184,0,-0.000185278,0.0001077
0.5,-0.00691406,0.000792513,0,-0.000177609,9.92961e-05
0.5,-0.00685547,0.000762134,0,-0.000172553,0.000102549
0.5,-0.00691406,0.000792512,0,-0.000177608,9.92959e-05
0.5,-0.00685475,0.000761719,0,-0.00017265,0.000103811
0.5,-0.00679687,0.0007324,0,-8.5022e-05,7.16258e-05
0.5,-0.00673828,0.000704286,0,-0.000137009,9.55382e-05
0.5,-0.00673602,0.000703125,0,-0.000140286,9.90281e-05
0.5,-0.00667969,0.000677276,0,-8.59809e-05,7.26986e-05
0.5,-0.00662109,0.000652034,0,-0.000143909,8.0049e-05
0.5,-0.00660401,0.000644531,0,-0.000165288,9.85401e-05
0.5,-0.0065625,0.00062713,0,-0.000142818,8.99884e-05
0.5,-0.00650391,0.000603935,0,-0.000201004,9.45479e-05
0.5,-0.00645673,0.000585937,0,-0.000260825,0.000128966
0.5,-0.00644531,0.00058132,0,-0.00026263,0.000129078
0.5,-0.00638672,0.000560276,0,-0.000261091,0.00011894
0.5,-0.00632812,0.000540014,0,-0.000346619,0.000138099
0.5,-0.00629044,0.000527344,0,-0.000407421,0.000159599
0.5,-0.00626953,0.000520151,0,-0.000417235,0.000158868
0.5,-0.00621094,0.000501705,0,-0.000471489,0.000158847
0.5,-0.00615234,0.000483844,0,-0.000574052,0.000178446
0.5,-0.00610081,0.00046875,0,-0.000665472,0.000197523
0.5,-0.00609375,0.000466564,0,-0.000674003,0.000198686
0.5,-0.00603516,0.000450268,0,-0.000870005,0.000229447
0.5,-0.00597656,0.000428952,0,-0.000921363,0.000200245
0.5,-0.00585938,0.000405202,0,-0.000643841,0.000136226
0.5,-0.00597656,0.000428952,0,-0.000921363,0.000200245
0.5,-0.00574219,0.000377952,0,-0.000465918,9.73599e-05
0.5,-0.005625,0.000352939,0,-0.000346722,0.000115594
0.5,-0.00561833,0.000351562,0,-0.000344686,0.000117592
0.5,-0.00550781,0.000329773,0,-0.000198981,8.13505e-05
0.5,-0.00539062,0.000308465,0,-0.000196606,6.47104e-05
0.5,-0.00527344,0.00028882,0,-0.000171978,4.09487e-05
0.5,-0.00515625,0.000270699,0,-8.89752e-05,2.38176e-05
0.5,-0.00503906,0.000253967,0,-6.00246e-05,1.60184e-05
0.5,-0.00492188,0.000238597,0,-6.22341e-05,2.96738e-05
0.5,-0.00488781,0.000234375,0,-7.74235e-05,3.42467e-05
0.5,-0.00480469,0.000224219,0,-6.18642e-05,3.12836e-05
0.5,-0.0046875,0.000211068,0,-0.000127597,2.94615e-05
0.5,-0.00457031,0.000198888,0,-0.000171412,2.59507e-05
0.5,-0.00445312,0.000187643,0,-0.000151205,1.64611e-05
0.5,-0.00433594,0.000177254,0,-0.000109057,8.82322e-06
0.5,-0.00421875,0.00016765,0,-5.77811e-05,3.35703e-06
0.5,-0.00410156,0.000158772,0,-9.99513e-06,-1.40143e-06
0.5,-0.00398438,0.000150563,0,2.99222e-05,-4.03958e-06
0.5,-0.00386719,0.000142971,0,5.7903e-05,-3.59743e-06
0.5,-0.00375,0.000135951,0,6.83803e-05,-2.22994e-06
0.5,-0.00363281,0.000129457,0,6.06951e-05,2.68545e-07
0.5,-0.00351562,0.00012345,0,2.58598e-05,3.87403e-06
0.5,-0.00339844,0.0001179,0,-6.08211e-06,8.45561e-06
0.5,-0.00338233,0.000117187,0,-1.62095e-05,8.17754e-06
0.5,-0.00328125,0.00011275,0,-5.40058e-05,5.26047e-06
0.5,-0.00316406,0.000107997,0,-0.00015044,4.56639e-06
0.5,-0.00304688,0.000103608,0,-0.000211467,5.01482e-06
0.5,-0.00292969,9.95527e-05,0,-0.000233997,4.83331e-06
0.5,-0.0028125,9.5803e-05,0,-0.000240804,4.85916e-06
0.5,-0.00269531,9.23349e-05,0,-0.000237802,4.78184e-06
0.5,-0.00257812,8.91268e-05,0,-0.000232195,4.77049e-06
0.5,-0.00246094,8.61596e-05,0,-0.00022419,4.63409e-06
0.5,-0.00234375,8.34153e-05,0,-0.000215578,4.42106e-06
0.5,-0.00222656,8.08773e-05,0,-0.000206105,4.09269e-06
0.5,-0.00210938,7.85298e-05,0,-0.000196417,3.73877e-06
0.5,-0.00199219,7.63586e-05,0,-0.000186485,3.36499e-06
0.5,-0.001875,7.43505e-05,0,-0.000176621,3.00679e-06
0.5,-0.00175781,7.24933e-05,0,-0.000166877,2.66697e-06
0.5,-0.00164062,7.07753e-05,0,-0.000157406,2.35732e-06
0.5,-0.00152344,6.91863e-05,0,-0.000148253,2.07661e-06
0.5,-0.00140625,6.77167e-05,0,-0.000139488,1.82675e-06
0.5,-0.00128906,6.63571e-05,0,-0.000131128,1.605e-06
0.5,-0.00117187,6.50997e-05,0,-0.000123199,1.4099e-06
0.5,-0.00105469,6.39365e-05,0,-0.000115701,1.23848e-06
0.5,-0.0009375,6.28608e-05,0,-0.000108631,1.0885e-06
0.5,-0.000820312,6.18654e-05,0,-0.000101979,9.5731e-07
0.5,-0.000703125,6.09447e-05,0,-9.57293e-05,8.42822e-07
0.5,-0.000585937,6.0093e-05,0,-8.98685e-05,7.42876e-07
0.5,-0.00046875,5.93051e-05,0,-8.43699e-05,6.56122e-07
0.5,-0.000351562,5.85764e-05,0,-7.9229e-05,5.882e-07
0.5,-0.000234375,5.79021e-05,0,-7.44058e-05,5.26939e-07
0.5,-0.000117187,5.72784e-05,0,-6.99439e-05,4.6486e-07
0.5,0,5.67012e-05,0,-6.57873e-05,4.12454e-07
